"Date","Total","Died","Estimated Recovered *","Estimated Active"
2020-03-05,0,0,0,0
2020-03-06,1,0,0,1
2020-03-07,1,0,0,1
2020-03-08,1,0,0,1
2020-03-09,2,0,0,2
2020-03-10,2,0,0,2
2020-03-11,3,0,0,3
2020-03-12,4,0,0,4
2020-03-13,9,0,0,9
2020-03-14,14,0,0,14
2020-03-15,26,0,0,26
2020-03-16,38,0,0,38
2020-03-17,52,0,0,52
2020-03-18,61,0,0,61
2020-03-19,95,0,0,95
2020-03-20,121,0,0,121
2020-03-21,143,0,0,143
2020-03-22,225,1,0,224
2020-03-23,256,1,0,255
2020-03-24,324,1,0,323
2020-03-25,364,1,0,363
2020-03-26,450,3,0,447
2020-03-27,574,4,1,569
2020-03-28,689,5,1,683
2020-03-29,789,7,1,781
2020-03-30,902,7,2,893
2020-03-31,984,9,2,973
2020-04-01,1065,9,3,1053
2020-04-02,1268,10,4,1254
2020-04-03,1425,10,9,1406
2020-04-04,1592,15,14,1563
2020-04-05,1665,15,26,1624
2020-04-06,1731,15,38,1678
2020-04-07,1816,16,51,1749
2020-04-08,1966,17,60,1889
2020-04-09,2091,19,93,1979
2020-04-10,2211,22,119,2070
2020-04-11,2311,22,139,2150
2020-04-12,2370,22,219,2129
2020-04-13,2417,22,250,2145
2020-04-14,2539,23,317,2199
2020-04-15,2676,24,355,2297
2020-04-16,2806,25,440,2341
2020-04-17,2941,26,562,2353
2020-04-18,3073,29,676,2368
2020-04-19,3221,30,773,2418
2020-04-20,3310,35,885,2390
2020-04-21,3448,35,966,2447
2020-04-22,3609,37,1046,2526
2020-04-23,3765,43,1244,2478
2020-04-24,3946,43,1397,2506
2020-04-25,4128,45,1564,2519
2020-04-26,4238,46,1637,2555
2020-04-27,4333,47,1702,2584
2020-04-28,4480,47,1787,2646
2020-04-29,4655,47,1935,2673
2020-04-30,4811,50,2058,2703
2020-05-01,4968,53,2178,2737
2020-05-02,5155,56,2275,2824
2020-05-03,5288,57,2334,2897
2020-05-04,5417,58,2378,2981
2020-05-05,5572,61,2499,3012
2020-05-06,5700,64,2632,3004
2020-05-07,5894,66,2758,3070
2020-05-08,6079,70,2887,3122
2020-05-09,6230,73,3018,3139
2020-05-10,6346,75,3164,3107
2020-05-11,6419,78,3251,3090
2020-05-12,6602,79,3386,3137
2020-05-13,6731,83,3543,3105
2020-05-14,6895,86,3695,3114
2020-05-15,7048,90,3872,3086
2020-05-16,7220,93,4051,3076
2020-05-17,7368,95,4160,3113
2020-05-18,7505,98,4253,3154
2020-05-19,7704,98,4399,3207
2020-05-20,7864,100,4571,3193
2020-05-21,8058,103,4723,3232
2020-05-22,8241,105,4875,3261
2020-05-23,8381,107,5055,3219
2020-05-24,8512,109,5186,3217
2020-05-25,8607,111,5314,3182
2020-05-26,8692,112,5467,3113
2020-05-27,8929,112,5594,3223
2020-05-28,9262,116,5784,3362
2020-05-29,9539,116,5966,3457
2020-05-30,9811,118,6111,3582
2020-05-31,10018,120,6227,3671
2020-06-01,10220,123,6293,3804
2020-06-02,10501,123,6475,3903
2020-06-03,10813,126,6602,4085
2020-06-04,11261,128,6765,4368
2020-06-05,11807,128,6916,4763
2020-06-06,12085,131,7086,4868
2020-06-07,12368,134,7231,5003
2020-06-08,12564,134,7366,5064
2020-06-09,12875,139,7560,5176
2020-06-10,13247,143,7718,5386
2020-06-11,13583,144,7910,5529
2020-06-12,13985,149,8089,5747
2020-06-13,14326,150,8226,5950
2020-06-14,14629,152,8356,6121
2020-06-15,14947,153,8448,6346
2020-06-16,15369,154,8530,6685
2020-06-17,15856,159,8760,6937
2020-06-18,16460,162,9090,7208
2020-06-19,17108,164,9366,7578
2020-06-20,17521,166,9638,7717
2020-06-21,17974,168,9841,7965
2020-06-22,18340,171,10040,8129
2020-06-23,18830,172,10317,8341
2020-06-24,19433,176,10627,8630
2020-06-25,20086,177,11073,8836
2020-06-26,20655,178,11617,8860
2020-06-27,21152,181,11894,9077
2020-06-28,21750,183,12175,9392
2020-06-29,22285,186,12369,9730
2020-06-30,22800,190,12680,9930
2020-07-01,23368,193,13051,10124
2020-07-02,23992,195,13386,10411
2020-07-03,24671,198,13786,10687
2020-07-04,25082,202,14124,10756
2020-07-05,25617,208,14424,10985
2020-07-06,26203,212,14740,11251
2020-07-07,26954,219,15161,11574
2020-07-08,27581,226,15644,11711
2020-07-09,28457,230,16246,11981
2020-07-10,29082,232,16885,11965
2020-07-11,29726,238,17293,12195
2020-07-12,30317,240,17744,12333
2020-07-13,30795,244,18108,12443
2020-07-14,31256,247,18591,12418
2020-07-15,31965,252,19189,12524
2020-07-16,32712,257,19838,12617
2020-07-17,33454,262,20404,12788
2020-07-18,34257,266,20898,13093
2020-07-19,34669,272,21491,12906
2020-07-20,35116,279,22022,12815
2020-07-21,35672,284,22531,12857
2020-07-22,36183,290,23091,12802
2020-07-23,37053,299,23714,13040
2020-07-24,37721,302,24387,13032
2020-07-25,38079,306,24793,12980
2020-07-26,38514,311,25320,12883
2020-07-27,38937,313,25899,12725
2020-07-28,39277,317,26639,12321
2020-07-29,39773,323,27255,12195
2020-07-30,40280,326,28124,11830
2020-07-31,40772,328,28741,11703
2020-08-01,41253,331,29377,11545
2020-08-02,41594,337,29953,11304
2020-08-03,41964,340,30422,11202
2020-08-04,42376,343,30880,11153
2020-08-05,42954,346,31586,11022
2020-08-06,43407,351,32332,10724
2020-08-07,43791,357,33074,10360
2020-08-08,44172,360,33870,9942
2020-08-09,44444,365,34277,9802
2020-08-10,44796,368,34722,9706
2020-08-11,45117,369,35270,9478
